file_name,class,name,num_inds,confidence,datetime,media,model,xmin,ymin,xmax,ymax
2022九如吳翊銘03270045.JPG,,,0,,2022-03-27 15:06:09,image,color,,,,
2022九如吳翊銘03300538.JPG,,,0,,2022-03-30 16:30:28,image,color,,,,
2022九如吳翊銘03300554.JPG,,,0,,2022-03-30 16:52:05,image,color,,,,
2022九如吳翊銘04010001.JPG,,,0,,2022-04-01 09:37:35,image,color,,,,
2022九如吳翊銘04010155.JPG,,,0,,2022-04-01 13:55:24,image,color,,,,
2022九如吳翊銘04050797.JPG,10,Long-tailed Shrike,1,0.7849897742271423,2022-04-05 13:31:28,image,color,62.42359924316406,259.13507080078125,225.97727966308594,451.09228515625
2022九如吳翊銘04130007.JPG,,,0,,2022-04-13 08:01:03,image,color,,,,
2022九如吳翊銘04180211.JPG,,,0,,2022-04-18 06:42:20,image,color,,,,
2022九如吳翊銘04210329.JPG,,,0,,2022-04-21 06:40:57,image,color,,,,
2022九如吳翊銘03300594.JPG,1.0,Savanna Nightjar,1,0.9503619074821472,2022-03-30 19:02:04,image,infrared,397.6220703125,193.33413696289062,538.4257202148438,392.4106750488281
2022九如吳翊銘03310985.JPG,1.0,Savanna Nightjar,1,0.9336144924163818,2022-03-31 23:51:26,image,infrared,355.11566162109375,186.9083709716797,529.3933715820312,450.65753173828125
2022九如吳翊銘03310986.JPG,1.0,Savanna Nightjar,1,0.9451599717140198,2022-03-31 23:51:27,image,infrared,356.06158447265625,182.4126434326172,523.25,442.065673828125
2022九如吳翊銘04010225.JPG,1.0,Savanna Nightjar,1,0.9436459541320801,2022-04-01 20:09:13,image,infrared,396.2145080566406,201.85302734375,593.8150634765625,364.6500244140625
2022九如吳翊銘04010226.JPG,1.0,Savanna Nightjar,1,0.9328601360321045,2022-04-01 20:09:14,image,infrared,409.8077087402344,193.82077026367188,544.1574096679688,347.3029479980469
2022九如吳翊銘04020254.JPG,1.0,Savanna Nightjar,1,0.9284429550170898,2022-04-02 18:37:50,image,infrared,244.2385711669922,189.01573181152344,512.8618774414062,387.59405517578125
2022九如吳翊銘04150100.JPG,3.0,Australasian Grass-Owl,1,0.36423879861831665,2022-04-15 01:45:58,image,infrared,0.4799919128417969,14.665176391601562,62.728878021240234,411.580078125
2022九如吳翊銘04160137.JPG,1.0,Savanna Nightjar,1,0.9486181139945984,2022-04-16 22:13:24,image,infrared,332.82611083984375,191.44149780273438,457.42523193359375,332.0582580566406
